CaseID,alpha1,beta1,alpha2,beta2,WeightMethod,alpha1_initial,beta1_initial,alpha2_initial,beta2_initial,Breakpoint_X
1,0.10430878747779,25.7877179133274,0.0237917586490775,-7.75127579654286,linear,0.0784022711436769,31.6225009362352,0.0243011233382132,-0.0839313709172216,45.8643784816319
2,0.00457483577928763,805.355409727232,0.000343409006622577,-3561.86289032462,linear,0.00271128858926046,837.530536751589,0.000402220974649406,-2457.03015268671,1411.41646506413
3,0.0203126015045783,53.8803274021035,0.000540497045884563,-3608.91405022613,linear,0.0175494904279564,68.5785589023354,0.000513264519301302,-3650.26343294929,180.619198509932
4,0.00132545519179317,1362.31186503869,0.000164974812340749,-5874.29033195894,linear,0.00102397813566834,1709.89754156902,0.0002052257196788,-2946.19868151505,2876.97892003592
5,0.0110495342171875,192.465093876097,0.00274215322368245,150.593658249035,linear,0.00427732636992894,318.808840830596,0.00121613906622736,-939.737778076037,818.800366363825
6,0.0233643663913011,223.583961139402,0.00820146100563715,337.669491151916,linear,0.00897324351605711,347.826023611937,0.00448454743997944,44.3715822451186,651
7,0.16555496385237,47.7124139552876,0.0569801301015949,56.1090198450888,linear,0.0659326824683977,59.4014875231187,0.0338230081328149,23.6875109273633,97.021119171478
8,0.0450823312993415,43.4805470192515,0.00527400320204275,-591.054098457111,linear,0.0432109700422499,44.8844493857766,0.0145362787520017,-78.3095876386544,107.336136995769
1,0.091573504316581,26.1437936454502,0.0208561444490441,-22.4649355287058,quadratic,0.0784022711436769,31.6225009362352,0.0243011233382132,-0.0839313709172216,45.8643784816319
2,0.00512538372665045,807.508168018633,0.000404154036176882,-2553.19425839374,quadratic,0.00271128858926046,837.530536751589,0.000402220974649406,-2457.03015268671,1411.41646506413
3,0.0186357916481134,52.4400955184924,0.000442148831493407,-4729.9255552797,quadratic,0.0175494904279564,68.5785589023354,0.000513264519301302,-3650.26343294929,180.619198509932
4,0.0012589395980366,1353.46318537667,0.000156747314891048,-6648.15243530627,quadratic,0.00102397813566834,1709.89754156902,0.0002052257196788,-2946.19868151505,2876.97892003592
5,0.00513455122427223,253.716421786794,0.00111573747822638,-1254.50928981478,quadratic,0.00427732636992894,318.808840830596,0.00121613906622736,-939.737778076037,818.800366363825
6,0.00851223867749547,335.270994345168,0.00851222243897025,35.3762099357277,quadratic,0.00897324351605711,347.826023611937,0.00448454743997944,44.3715822451186,651
7,0.264514780537311,49.4274436714625,0.0593388733446675,57.4275187886981,quadratic,0.0659326824683977,59.4014875231187,0.0338230081328149,23.6875109273633,97.021119171478
8,0.0447037519609936,43.5210957718771,0.00422681842743705,-784.086206581963,quadratic,0.0432109700422499,44.8844493857766,0.0145362787520017,-78.3095876386544,107.336136995769
1,0.117023086652106,25.5946520692252,0.0257453988261604,-0.042457183053883,exponential,0.0784022711436769,31.6225009362352,0.0243011233382132,-0.0839313709172216,45.8643784816319
2,0.00398195169230182,805.221118294457,0.00026320404263092,-5719.29911439233,exponential,0.00271128858926046,837.530536751589,0.000402220974649406,-2457.03015268671,1411.41646506413
3,0.0242366992332107,54.0495097980208,0.000957822122148752,-1696.49945683163,exponential,0.0175494904279564,68.5785589023354,0.000513264519301302,-3650.26343294929,180.619198509932
4,0.00147661374789015,1354.26343408897,0.000186426480427724,-4290.53854825993,exponential,0.00102397813566834,1709.89754156902,0.0002052257196788,-2946.19868151505,2876.97892003592
5,0.00900437891450953,205.649678189052,0.0023907994510179,51.9061220820883,exponential,0.00427732636992894,318.808840830596,0.00121613906622736,-939.737778076037,818.800366363825
6,0.0165956860446032,207.533060223087,0.00813203722772028,332.820641373686,exponential,0.00897324351605711,347.826023611937,0.00448454743997944,44.3715822451186,651
7,0.100353954341366,50.4100017960508,0.0499417037718348,48.4640204921207,exponential,0.0659326824683977,59.4014875231187,0.0338230081328149,23.6875109273633,97.021119171478
8,0.0458869797365074,43.2672580760935,0.00757378956921177,-358.029188241817,exponential,0.0432109700422499,44.8844493857766,0.0145362787520017,-78.3095876386544,107.336136995769
