CaseID,WeightMethod,Total_RMSE,Breakpoint_X,Breakpoint_Y,Initial_Error,Final_Error
1,linear,0.0264128857279977,45.8643784816319,1.11659554490924,0.121654658869529,0.123520188433842
2,linear,0.034961955244923,1411.41646506413,1.55597036897094,0.0926215189705886,0.137220061567171
3,linear,0.044105489217755,180.619198509932,1.96625613233562,0.0809793714086498,0.176681116967729
4,linear,0.0272472112159077,2876.97892003592,1.19506581409577,0.115277849342451,0.158772187802349
5,linear,0.0222630062991185,818.800366363825,2.13862693690428,0.0915692203606716,0.176394742840755
6,linear,0.0224215764027855,651,2.72045391786143,0.0798598906875551,0.188211364288119
7,linear,0.0252272583113506,97.021119171478,2.48036322804936,0.0923029137317285,0.214860685117407
8,linear,0.012909567382556,107.336136995769,2.69859800240334,0.0629550686861877,0.161168056446466
1,quadratic,0.0307377870078905,45.8643784816319,1.11659554490924,0.121654658869529,0.11525846349017
2,quadratic,0.0383569940972264,1411.41646506413,1.55597036897094,0.0926215189705886,0.106568310146792
3,quadratic,0.0517663893756588,180.619198509932,1.96625613233562,0.0809793714086498,0.142933817336568
4,quadratic,0.0298998685974033,2876.97892003592,1.19506581409577,0.115277849342451,0.131682795452109
5,quadratic,0.0328443541702547,818.800366363825,2.13862693690428,0.0915692203606716,0.175549279572574
6,quadratic,0.0235963651067139,651,2.72045391786143,0.0798598906875551,0.188441137271567
7,quadratic,0.0311064720551476,97.021119171478,2.48036322804936,0.0923029137317285,0.188623439860014
8,quadratic,0.0130783569713957,107.336136995769,2.69859800240334,0.0629550686861877,0.156317388786494
1,exponential,0.0247342949473911,45.8643784816319,1.11659554490924,0.121654658869529,0.132006694356473
2,exponential,0.0322866853271855,1411.41646506413,1.55597036897094,0.0926215189705886,0.175354876419211
3,exponential,0.0374489970184738,180.619198509932,1.96625613233562,0.0809793714086498,0.22001824529387
4,exponential,0.0252437743574574,2876.97892003592,1.19506581409577,0.115277849342451,0.172652738040539
5,exponential,0.0216081077314089,818.800366363825,2.13862693690428,0.0915692203606716,0.170883659581817
6,exponential,0.0216305036568498,651,2.72045391786143,0.0798598906875551,0.186057140078492
7,exponential,0.0232194297413607,97.021119171478,2.48036322804936,0.0923029137317285,0.226683365562957
8,exponential,0.0127883075608406,107.336136995769,2.69859800240334,0.0629550686861877,0.157817958302039
