Case1,Case1,Case2,Case2,Case3,Case3,Case4,Case4,Case5,Case5,Case6,Case6,Case7
,,,,,,0.962253784,0.950302096,0.876040554,0.855800638,0.79298,0.7414,0.401584058
,,,,,,0.978994201,0.969762048,0.882625505,0.863025983,0.79298,0.7414,0.401584058
,,,,,,0.981395707,0.972722036,0.89425472,0.875778083,0.80587,0.75699,0.410536771
,,,,,,,,0.946425747,0.932873036,0.83891,0.7973,0.42389984
,,,,,,,,0.96085212,0.948908258,0.84409,0.80366,0.426118387
,,,,,,,,0.966105227,0.954877856,0.84536,0.80522,0.445957791
,,,,,,,,0.972918672,0.962795146,0.8491,0.80984,0.445957791
,,,,,,,,0.990911764,0.985433149,0.85633,0.81877,0.450332492
,,,,,,,,,,0.85982,0.82309,0.4676918
,,,,,,,,,,0.8781,0.84579,0.484806094
,,,,,,,,,,0.88587,0.8555,0.505814098
,,,,,,,,,,0.89661,0.86896,0.518196005
,,,,,,,,,,0.89661,0.86896,0.532416145
,,,,,,,,,,0.89746,0.87003,0.558142079
,,,,,,,,,,0.90078,0.87421,0.595866938
,,,,,,,,,,0.91159,0.88784,0.599510437
,,,,,,,,,,0.91857,0.89669,0.613843791
,,,,,,,,,,0.925,0.90484,0.624338706
,,,,,,,,,,0.94932,0.9359,0.624338706
,,,,,,,,,,0.97194,0.96503,0.636303799
,,,,,,,,,,0.98684,0.98423,0.641339276
,,,,,,,,,,0.99546,0.99509,0.657722409
,,,,,,,,,,,,0.659326698
,,,,,,,,,,,,0.682650201
,,,,,,,,,,,,0.691592508
,,,,,,,,,,,,0.700315553
,,,,,,,,,,,,0.706009957
,,,,,,,,,,,,0.714371604
,,,,,,,,,,,,0.722519303
,,,,,,,,,,,,0.730455533
,,,,,,,,,,,,0.733054411
,,,,,,,,,,,,0.736909465
,,,,,,,,,,,,0.745704612
,,,,,,,,,,,,0.754223777
,,,,,,,,,,,,0.760142781
,,,,,,,,,,,,0.771574182
,,,,,,,,,,,,0.790830525
,,,,,,,,,,,,0.79688616
,,,,,,,,,,,,0.814924905
,,,,,,,,,,,,0.828006108
,,,,,,,,,,,,0.831330275
,,,,,,,,,,,,0.836191421
,,,,,,,,,,,,0.837779014
,,,,,,,,,,,,0.84013015
,,,,,,,,,,,,0.863727765
,,,,,,,,,,,,0.867600009
,,,,,,,,,,,,0.902113167
,,,,,,,,,,,,0.904788855
,,,,,,,,,,,,0.943090694
,,,,,,,,,,,,0.96156151
,,,,,,,,,,,,0.969094793
,,,,,,,,,,,,0.981014669
,,,,,,,,,,,,0.985194593
